marshal,"执法官, 消防局长 vt.整理，排列，集结 排列, 编队 "
conflate,"混合：turn into a single mass"
collate,"v.对照，核对[红宝书]"
undergird,"加强，巩固...的底部：strengthen"
underbid,"v.要价过低[红宝书]"
